Wall time,Step,Value
1663503044.7220685,0,0.0
1663505250.5951371,20,0.0
1663509013.4476578,40,0.0
1663512980.0115533,60,0.0
1663517153.5932555,80,0.0
1663521406.6424909,100,0.0
1663525611.6392436,120,0.0
1663529375.9687753,140,0.0
1663533238.338912,160,0.0
1663537056.7204747,180,0.0
1663540766.9968264,200,0.0
1663544370.8306708,220,0.0
1663547507.9468017,240,0.0
1663550240.2504199,260,0.0
1663552984.3008382,280,0.0
1663555748.8526437,300,0.0
1663558526.3121786,320,0.0
1663561352.4141512,340,0.0
1663564155.0164733,360,0.0
