Wall time,Step,Value
1662298920.1137958,0,0.0
1662300593.8650837,20,0.0
1662302481.4710386,40,0.0
1662304441.5899968,60,0.0
1662306405.0486188,80,0.0
1662308294.5615046,100,1.0
1662310248.4379034,120,0.0
1662312282.216334,140,0.0
1662314281.469072,160,0.0
1662316241.872615,180,0.0
1662318182.3912075,200,0.0
1662320154.726883,220,0.0
1662322117.764252,240,0.0
1662324115.9513054,260,0.0
1662326100.5915322,280,0.0
1662328107.0861745,300,0.0
1662330068.1552467,320,0.0
1662331988.9999893,340,0.0
1662333939.3934066,360,0.0
